sentence,image_1,image_2,label_image1,label_image2
The man ran on the street.,"[-0.5005442500114441, -0.6592392921447754, 0.07217646390199661, 0.32416796684265137, -0.06924105435609818, -0.1755942702293396, -0.04812893271446228, -0.1969081163406372, 0.4328368902206421, -0.20373432338237762, -0.1664188802242279, 0.1462627798318863, 0.3442034423351288, 0.14189107716083527, 0.471138596534729, 0.48725250363349915, 0.45353105664253235, -0.4204733371734619, 0.18126632273197174, 0.06503608822822571, -0.3617684841156006, -0.04798533767461777, -0.11007719486951828, 0.23724780976772308, -0.34718483686447144, -0.11282077431678772, 0.559691309928894, -0.04252789169549942, 0.04606274515390396, -0.10129863023757935, -0.0008421000093221664, -0.4296351373195648, 0.10128425061702728, -0.33966225385665894, -0.7805246114730835, 0.3482145369052887, -0.5981452465057373, -0.08223047852516174, -0.06816421449184418, 0.17402467131614685]","[-0.23897719383239746, -0.5057695508003235, -0.6416820883750916, 0.058565281331539154, -0.49590274691581726, -0.5380011796951294, 0.0582515150308609, -0.05762934684753418, 0.35127344727516174, -0.4962712228298187, -0.5243325233459473, 0.5658180117607117, 0.1514556109905243, -0.5120705962181091, 0.4236023724079132, -0.07938063144683838, 0.49090874195098877, -0.7224324941635132, 0.12632443010807037, -0.11034058034420013, -0.5287353992462158, 0.5063802003860474, -0.1242375299334526, 0.30202215909957886, -0.2873137593269348, -0.14255771040916443, 0.6799583435058594, 0.23792925477027893, 0.3118690550327301, -0.4319957196712494, -0.04790830612182617, -0.3738844096660614, -0.015416964888572693, -0.20452886819839478, -0.5665342211723328, 0.435095876455307, -0.8733422756195068, 0.5000789165496826, 0.076058030128479, 0.7553741335868835]",0,1
girl stand near tree,"[-0.5718689560890198, -0.09810932725667953, -0.23860357701778412, -0.040641866624355316, 0.10176389664411545, -0.2034919261932373, 0.12047694623470306, -0.6182217001914978, -0.07428110390901566, -0.2608557939529419, -0.4291485548019409, 0.42247474193573, 0.7127211689949036, 0.16831131279468536, 0.2954491078853607, 0.18953998386859894, 0.30812203884124756, 0.2249225527048111, -0.42957016825675964, -0.3393862545490265, -0.5063492655754089, 0.28698140382766724, 0.010962260887026787, 0.12635645270347595, -0.09735845774412155, 0.2401348501443863, 0.03706396371126175, -0.08811778575181961, -0.10816743969917297, 0.01651599071919918, 0.19586436450481415, -0.4269213378429413, -0.14164312183856964, -0.2628452181816101, -0.22278687357902527, 0.03562083840370178, -0.4650663137435913, 0.3492080569267273, 0.31454694271087646, 0.06319205462932587]","[-0.9251944422721863, -0.46088743209838867, -0.030165309086441994, 0.29664909839630127, 0.1571516990661621, -0.5483814477920532, 0.3795120120048523, -0.6943979263305664, 0.0822005569934845, -0.40297433733940125, -0.7506182193756104, 0.28233039379119873, 0.592602014541626, 0.4304989278316498, 0.1787089854478836, 0.5903807282447815, 0.4789472222328186, -0.4271477460861206, 0.2226201444864273, 0.7685760259628296, -0.22752530872821808, 0.3732500672340393, -0.05474534630775452, -0.08514603972434998, -0.4995698630809784, 0.19593891501426697, 0.4903135597705841, -0.1427868902683258, 0.4619144797325134, -0.44546183943748474, -0.03845268487930298, -0.19346392154693604, -0.3714660406112671, -0.41882359981536865, -0.34387826919555664, -0.14336466789245605, -0.8651977777481079, 0.05676569789648056, 0.14532320201396942, -0.04255373403429985]",0,1
girl stand near tree,"[-0.5718689560890198, -0.09810932725667953, -0.23860357701778412, -0.040641866624355316, 0.10176389664411545, -0.2034919261932373, 0.12047694623470306, -0.6182217001914978, -0.07428110390901566, -0.2608557939529419, -0.4291485548019409, 0.42247474193573, 0.7127211689949036, 0.16831131279468536, 0.2954491078853607, 0.18953998386859894, 0.30812203884124756, 0.2249225527048111, -0.42957016825675964, -0.3393862545490265, -0.5063492655754089, 0.28698140382766724, 0.010962260887026787, 0.12635645270347595, -0.09735845774412155, 0.2401348501443863, 0.03706396371126175, -0.08811778575181961, -0.10816743969917297, 0.01651599071919918, 0.19586436450481415, -0.4269213378429413, -0.14164312183856964, -0.2628452181816101, -0.22278687357902527, 0.03562083840370178, -0.4650663137435913, 0.3492080569267273, 0.31454694271087646, 0.06319205462932587]","[-0.8366451263427734, -0.41656264662742615, -0.12595772743225098, 0.07523320615291595, -0.41651013493537903, -0.1725444495677948, -0.0022884048521518707, -0.3771041929721832, 0.08337127417325974, -0.4863549470901489, -0.6452726125717163, 0.39598989486694336, 0.463739812374115, 0.6003007888793945, 0.41172054409980774, -0.029981883242726326, 0.6683017015457153, -0.18958725035190582, 0.08469264209270477, 0.1486525684595108, -0.11793540418148041, 0.4086800813674927, -0.0588638037443161, -0.05408729612827301, -0.47361618280410767, -0.013138141483068466, 0.1554596722126007, -0.08041579276323318, 0.6355425119400024, -0.4699265956878662, 0.12984059751033783, 0.0847686305642128, -0.1812516450881958, -0.6166501641273499, -0.24749858677387238, 0.19551587104797363, -0.6882121562957764, 0.29517754912376404, 0.044378142803907394, 0.5015904903411865]",0,1
A woman sits on a tree.,"[-0.322180837392807, -0.5301392674446106, 0.07449986785650253, 0.24772146344184875, -0.04907475411891937, -0.23258498311042786, -0.027269303798675537, -0.5740426778793335, -0.013082807883620262, -0.35590869188308716, -0.4012320637702942, 0.4956108331680298, 0.7052900791168213, 0.13146604597568512, 0.3095587491989136, 0.2080007940530777, 0.4727180600166321, -0.16459336876869202, -0.13680680096149445, 0.6858488917350769, -0.26777637004852295, 0.34518709778785706, -0.44580233097076416, 0.23748178780078888, -0.09129094332456589, 0.043514836579561234, 0.4365973472595215, -0.0037795398384332657, 0.052021805197000504, -0.44969311356544495, 0.32766464352607727, -0.3566729724407196, -0.42253124713897705, -0.374164879322052, -0.2750423848628998, -0.05689585208892822, -1.1003354787826538, 0.2268432378768921, 0.5685105919837952, 0.15171962976455688]","[-0.40774020552635193, -0.4878369867801666, 0.1738653928041458, -0.41248229146003723, -0.3038184642791748, -0.3553156554698944, 0.041735514998435974, -0.3367573320865631, 0.040645718574523926, 0.13700030744075775, -0.3593583106994629, 0.3362599015235901, 0.4389130175113678, 0.06255171447992325, -0.00925024040043354, 0.011289892718195915, 0.47972744703292847, -0.06266263872385025, -0.17828820645809174, 0.5113457441329956, -0.40647637844085693, 0.5756136178970337, -0.24810972809791565, 0.07157687842845917, -0.30740559101104736, 0.09761466085910797, 0.5608768463134766, -0.16940054297447205, 0.07671428471803665, -0.09111258387565613, -0.003606131300330162, -0.0492340624332428, -0.6667191386222839, -0.5849193334579468, -0.2357032746076584, -0.025900010019540787, -0.5905147790908813, 0.21138866245746613, 0.6407687067985535, 0.13944551348686218]",0,1
A woman walks past trees.,"[-0.41800054907798767, -0.3367536664009094, -0.02190178819000721, -0.146847665309906, -0.46651992201805115, -0.21553361415863037, -0.07625722885131836, -0.026471959426999092, 0.3564005494117737, -0.10025754570960999, -0.3685222864151001, 0.6483781933784485, 0.2294228971004486, 0.42315492033958435, 0.028461141511797905, 0.19798770546913147, 0.5750473141670227, -0.6302607655525208, -0.04784099757671356, -0.04288934916257858, 0.24673698842525482, 0.3582906723022461, -0.021940501406788826, -0.04318825900554657, -0.4513458013534546, -0.2600286602973938, 0.1960209310054779, -0.3335026800632477, 0.13854318857192993, -0.38022276759147644, 0.02814856357872486, -0.3814198076725006, -0.27013343572616577, -0.2349860966205597, -0.01995900087058544, 0.26879623532295227, -0.8389500975608826, 0.48155611753463745, -0.009550701826810837, 0.18452075123786926]","[-0.35509172081947327, -0.7739982604980469, -0.18518882989883423, 0.29564759135246277, 0.049440331757068634, -0.4227614402770996, -0.04179921746253967, -0.11041060090065002, 0.09177971631288528, -0.37772542238235474, -0.8676319122314453, 0.5548070073127747, 0.020365506410598755, -0.26226070523262024, 0.26249057054519653, 0.3804607093334198, 0.4538883566856384, -0.6041988134384155, -0.02786804921925068, -0.19157683849334717, -0.005290886387228966, 0.08685138821601868, 0.15703922510147095, 0.4033031165599823, -0.051868267357349396, 0.1379837989807129, 0.03863462433218956, 0.17613734304904938, -0.027933917939662933, -0.28951042890548706, -0.118929922580719, -0.48772355914115906, 0.0596749484539032, -0.10066016763448715, 0.11787370592355728, 0.6865749359130859, -0.8082433938980103, 0.9865185022354126, 0.2374526411294937, 0.3771754801273346]",0,1
A man is walking on the street.,"[-0.3902852535247803, -0.9599822759628296, -0.014704065397381783, -0.05717906355857849, 0.009604528546333313, -0.2878575623035431, -0.3105847239494324, -0.650156557559967, 0.2604602575302124, -0.1558888852596283, -0.358440101146698, 0.2507149279117584, 0.40815234184265137, -0.4832761287689209, 0.37801143527030945, 0.4454748332500458, -0.0989917665719986, -0.6708406805992126, -0.20270590484142303, -0.2218366414308548, -0.3178292214870453, 0.30956366658210754, -0.06685641407966614, 0.38078364729881287, 0.22873789072036743, -0.003631856292486191, 0.6231323480606079, 0.136100634932518, 0.007217131555080414, -0.17588306963443756, -0.1504841148853302, -0.3733076751232147, -0.10311679542064667, -0.31936758756637573, -0.2495761662721634, 0.08445030450820923, -0.6075191497802734, 0.5587934851646423, -0.11032496392726898, 1.04171884059906]","[-0.37092089653015137, -0.9769666790962219, 0.08316649496555328, 0.04943850636482239, -0.2006981074810028, -0.2763919532299042, -0.27150964736938477, -0.5889313220977783, 0.015408167615532875, 0.3315497636795044, -0.08618468046188354, 0.2762998342514038, 0.25021326541900635, -0.06871826201677322, 0.5616763830184937, 0.4343561828136444, 0.12448565661907196, -0.34477144479751587, 0.14297150075435638, 0.09233956038951874, 0.10835861414670944, 0.06567290425300598, -0.05335983633995056, 0.3907851576805115, 0.044574953615665436, -0.29593291878700256, 1.0565849542617798, 0.0599265918135643, 0.22091376781463623, -0.26759111881256104, 0.4934670925140381, -0.2825808823108673, -0.2365342080593109, -0.5091400146484375, -0.5222026705741882, 0.05369919538497925, -0.5551590919494629, 0.01979021169245243, 0.04824976995587349, 0.4766171872615814]",0,1
A man walks down the street.,"[-0.357187956571579, -0.7824448943138123, 0.0585651695728302, -0.06887723505496979, 0.24016425013542175, -0.20802679657936096, -0.13205519318580627, -0.4256867468357086, -0.1885244995355606, -0.19937574863433838, -0.26937001943588257, 0.2147238403558731, 0.2766859829425812, -0.13100497424602509, 0.15956424176692963, 0.4333120286464691, 0.23082755506038666, -0.051445767283439636, -0.004560532048344612, -0.10862904787063599, -0.7744057178497314, 0.10709532350301743, -0.3355330228805542, 0.2567581236362457, 0.15328049659729004, -0.07847060263156891, 0.6119290590286255, -0.037348613142967224, -0.06116417050361633, 0.10383930057287216, 0.2602759599685669, -0.22936172783374786, 0.04227791726589203, -0.2740873098373413, -0.19264009594917297, 0.29159656167030334, -0.3355483114719391, 0.2635495662689209, 0.17693229019641876, 0.5591210722923279]","[-0.602070152759552, -0.5723907351493835, 0.03602208197116852, 0.4016854465007782, -0.10771412402391434, -0.37206804752349854, 0.32881176471710205, -0.4230431616306305, 0.006906168535351753, -0.10587894916534424, -0.5304090976715088, 0.09152132272720337, -0.11186370253562927, -0.03715444356203079, 0.21274423599243164, 0.5421996116638184, 0.46295052766799927, -0.5256984829902649, -0.16918359696865082, 0.12634511291980743, -0.004343381151556969, 0.2283148467540741, -0.013069359585642815, 0.5430572032928467, -0.076695017516613, -0.18377062678337097, 0.24527797102928162, -0.028005117550492287, -0.28624996542930603, -0.006208369508385658, -0.2626534700393677, 0.0625159814953804, -0.2860648036003113, 0.2382587492465973, -0.17380116879940033, 0.27301105856895447, -0.7460883855819702, 0.4695623517036438, -0.04799569770693779, 0.11798465251922607]",0,1
A person is walking on sand.,"[-0.15875981748104095, -0.6686086058616638, -0.1860457956790924, 0.2836703956127167, -0.05425671860575676, -0.6453231573104858, 0.127889022231102, -0.23461058735847473, -0.23761139810085297, -0.21252372860908508, -0.21846012771129608, 0.17519636452198029, 0.2710179388523102, -0.04224034398794174, 0.19927595555782318, 0.0041119735687971115, 0.14927220344543457, -0.1304910033941269, -0.19117818772792816, 0.21515405178070068, -0.4241116940975189, -0.18050533533096313, -0.42699024081230164, 0.366787314414978, -0.2055504024028778, -0.04801524803042412, 0.4818670153617859, 0.4531107246875763, -0.49580124020576477, 0.026752894744277, 0.06649494171142578, -0.12040957063436508, 0.16363190114498138, 0.052994854748249054, 0.06954199075698853, 0.44071221351623535, -0.6527947783470154, -0.03856322169303894, -0.18780453503131866, 0.045092467218637466]","[-0.28600403666496277, -0.4699668884277344, -0.16869205236434937, 0.35935351252555847, -0.3549593985080719, -0.44910508394241333, 0.19438347220420837, -0.5022751688957214, 0.1425243467092514, -0.3175242841243744, -0.15214192867279053, -0.17240503430366516, 0.4219280183315277, 0.1553163081407547, 0.1956881582736969, 0.15066944062709808, 0.352486252784729, -0.13955345749855042, 0.09751948714256287, -0.30323854088783264, -0.05626129359006882, 0.11232127249240875, -0.13451433181762695, 0.31964927911758423, -0.3409498333930969, 0.05022159591317177, 0.22488337755203247, 0.17757607996463776, -0.4052242040634155, 0.15649071335792542, -0.1749878078699112, -0.18989427387714386, -0.09062860906124115, -0.19832740724086761, -0.16644760966300964, 0.39560484886169434, -0.4451907277107239, 0.1457909196615219, -0.16643543541431427, 0.11176653206348419]",0,1
A girl walks on the sand.,"[-0.28600403666496277, -0.4699668884277344, -0.16869205236434937, 0.35935351252555847, -0.3549593985080719, -0.44910508394241333, 0.19438347220420837, -0.5022751688957214, 0.1425243467092514, -0.3175242841243744, -0.15214192867279053, -0.17240503430366516, 0.4219280183315277, 0.1553163081407547, 0.1956881582736969, 0.15066944062709808, 0.352486252784729, -0.13955345749855042, 0.09751948714256287, -0.30323854088783264, -0.05626129359006882, 0.11232127249240875, -0.13451433181762695, 0.31964927911758423, -0.3409498333930969, 0.05022159591317177, 0.22488337755203247, 0.17757607996463776, -0.4052242040634155, 0.15649071335792542, -0.1749878078699112, -0.18989427387714386, -0.09062860906124115, -0.19832740724086761, -0.16644760966300964, 0.39560484886169434, -0.4451907277107239, 0.1457909196615219, -0.16643543541431427, 0.11176653206348419]","[-0.11643347144126892, -0.5755747556686401, -0.24641071259975433, -0.029980899766087532, 0.10619305819272995, -0.13713359832763672, -0.4426630735397339, -0.14056630432605743, 0.028955886140465736, -0.3144986927509308, -0.17157113552093506, -0.22251510620117188, 0.31935879588127136, -0.08434309810400009, 0.04029005020856857, 0.04210346192121506, 0.37963154911994934, -0.8147048950195312, -0.1918676197528839, -0.2796783447265625, -0.20428191125392914, 0.09542609751224518, 0.4039292633533478, 0.7428187131881714, 0.25475743412971497, 0.30550047755241394, 0.5560047030448914, -0.18699926137924194, -0.28527697920799255, -0.20922069251537323, 0.1030801311135292, -0.1905372589826584, -0.14383582770824432, 0.1746918261051178, -0.286741703748703, 0.6032270789146423, -0.3910401165485382, 0.8584856986999512, 0.01730405166745186, 1.021606683731079]",0,1
A man walks the sand dunes.,"[-0.11643347144126892, -0.5755747556686401, -0.24641071259975433, -0.029980899766087532, 0.10619305819272995, -0.13713359832763672, -0.4426630735397339, -0.14056630432605743, 0.028955886140465736, -0.3144986927509308, -0.17157113552093506, -0.22251510620117188, 0.31935879588127136, -0.08434309810400009, 0.04029005020856857, 0.04210346192121506, 0.37963154911994934, -0.8147048950195312, -0.1918676197528839, -0.2796783447265625, -0.20428191125392914, 0.09542609751224518, 0.4039292633533478, 0.7428187131881714, 0.25475743412971497, 0.30550047755241394, 0.5560047030448914, -0.18699926137924194, -0.28527697920799255, -0.20922069251537323, 0.1030801311135292, -0.1905372589826584, -0.14383582770824432, 0.1746918261051178, -0.286741703748703, 0.6032270789146423, -0.3910401165485382, 0.8584856986999512, 0.01730405166745186, 1.021606683731079]","[-0.3635672628879547, -0.4795806407928467, -0.042143315076828, 0.2457321137189865, 0.1785118281841278, -0.5381368398666382, 0.11398019641637802, -0.4230008125305176, 0.1734258234500885, -0.2732449173927307, -0.4066798686981201, -0.20103447139263153, 0.4240369498729706, 0.31615114212036133, -0.02785971201956272, 0.15409807860851288, 0.2431560456752777, -0.027853749692440033, -0.1065509021282196, -0.05635450780391693, -0.03769940137863159, 0.1668103039264679, -0.05717158317565918, 0.2106928676366806, -0.3535393476486206, -0.1554572880268097, 0.21930208802223206, 0.2742389738559723, -0.019077233970165253, 0.03331056982278824, -0.0871826559305191, -0.35781607031822205, 0.06964990496635437, -0.13992458581924438, -0.039258986711502075, 0.3716428875923157, -0.36444327235221863, 0.4068754315376282, -0.02315136417746544, 0.23181366920471191]",0,1
A man runs on sand.,"[-0.46390601992607117, -0.30920708179473877, -0.19160212576389313, 0.2535811960697174, 0.2661963403224945, -0.9025089144706726, -0.07340215146541595, -0.606704592704773, 0.20366591215133667, -0.5408167839050293, -0.3229306936264038, 0.12521208822727203, 0.4779426157474518, -0.18547309935092926, 0.3559286594390869, 0.2830190062522888, 0.06838615238666534, 0.10014452040195465, 0.2307797223329544, -0.2215987592935562, -0.5048733353614807, 0.12731808423995972, -0.41177088022232056, 0.31647637486457825, -0.18730378150939941, 0.2879752218723297, 0.17413201928138733, 0.383263498544693, -0.4557064175605774, 0.2985644042491913, -0.14536121487617493, -0.4090070128440857, 0.22800759971141815, -0.3510657548904419, -0.2594205439090729, 0.47707653045654297, -0.5694718956947327, 0.47584739327430725, -0.07670503854751587, 0.33148476481437683]","[-0.26605820655822754, -0.47825682163238525, -0.1318013221025467, 0.38104328513145447, 0.25362446904182434, -0.6931452751159668, 0.09753792732954025, -0.44643738865852356, 0.0899973139166832, -0.3486187756061554, -0.18473976850509644, -0.06367231160402298, 0.7082700729370117, 0.15645967423915863, 0.011285310611128807, 0.30329373478889465, 0.21359264850616455, -0.2997978925704956, -0.09743745625019073, -0.3750598728656769, -0.15578456223011017, 0.1304272711277008, 0.06085255742073059, 0.3618198335170746, -0.4413847029209137, 0.27769890427589417, 0.14554303884506226, 0.0548221617937088, -0.33502447605133057, 0.2263973206281662, -0.14664128422737122, -0.17431847751140594, 0.03095082938671112, -0.4712156653404236, -0.3461339473724365, 0.45096883177757263, -0.17682363092899323, 0.1765684187412262, -0.1611408144235611, -0.03592195734381676]",0,1
The man sits by the pier,"[-0.7442326545715332, -0.5230149626731873, -0.17070987820625305, 0.26798921823501587, 0.24321627616882324, -0.3847591280937195, 0.3010018467903137, -0.1768932193517685, 0.2079567313194275, -0.49761268496513367, -0.7637606859207153, 0.042799606919288635, 0.16580815613269806, 0.04262311011552811, 0.39473390579223633, 0.7003384232521057, 0.2183985561132431, -0.21798604726791382, 0.045399054884910583, 0.15338368713855743, -0.307533860206604, 0.009013915434479713, -0.20555177330970764, 0.042012594640254974, 0.23948818445205688, 0.09074930846691132, 0.17496010661125183, 0.1916460543870926, -0.13307854533195496, -0.17952588200569153, -0.3830202519893646, -0.8582661747932434, 0.15303079783916473, -0.040979884564876556, -0.25575941801071167, 0.5186251401901245, -0.7413269877433777, 0.8002443909645081, -0.2970145344734192, 0.12535381317138672]","[-0.21289268136024475, -0.4712642431259155, -0.17897294461727142, 0.14804556965827942, -0.26186463236808777, -0.7141745090484619, 0.34439724683761597, -0.36464568972587585, 0.3810282349586487, -0.47511374950408936, -0.428586483001709, 0.08410094678401947, 0.04988868534564972, 0.06166840344667435, 0.30250051617622375, 0.42417749762535095, 0.451648086309433, -0.11828901618719101, 0.16149787604808807, 0.21693499386310577, -0.13157466053962708, -0.14334212243556976, -0.28578102588653564, 0.12954704463481903, -0.10466023534536362, 0.18952424824237823, 0.12395691126585007, 0.6078808903694153, -0.156992107629776, -0.27643516659736633, -0.34468406438827515, -0.3459619879722595, -0.12454293668270111, -0.007018322125077248, -0.14261429011821747, 0.6036453247070312, -0.7138125896453857, 0.6692924499511719, -0.5063692331314087, 0.43035924434661865]",0,1
A man jumps into water.,"[-0.6239439249038696, -0.24516873061656952, -0.11078046262264252, 0.03160994499921799, -0.2896716296672821, -0.44272705912590027, 0.13192406296730042, -0.17564527690410614, 0.148010715842247, -0.774105429649353, -0.40868300199508667, 0.4385387897491455, 0.234633669257164, 0.012151578441262245, -0.08693363517522812, 0.1424722969532013, -0.10981662571430206, -0.11406069993972778, 0.2924158573150635, -0.3656359612941742, -0.6109060049057007, 0.27162954211235046, -0.15399999916553497, 0.271658718585968, -0.4783347547054291, 0.3163578510284424, 0.28161191940307617, -0.02490268088877201, -0.1804884672164917, -0.053042761981487274, 0.1141510158777237, -0.1472667008638382, -0.0032482147216796875, 0.09875192493200302, -0.6798355579376221, 0.6115707755088806, -0.6754895448684692, 0.5946986675262451, 0.3177603781223297, 0.26203837990760803]","[-0.5974767804145813, -0.3853551745414734, 0.40697821974754333, 0.2113037407398224, -0.3488106429576874, -0.41299372911453247, -0.24546091258525848, -0.2833823263645172, 0.09303876012563705, -0.33522018790245056, -0.5022683143615723, 0.0702003538608551, 0.41099467873573303, 0.2651607394218445, 0.10061467438936234, 0.24811670184135437, -0.019418668001890182, -0.05627325922250748, 0.16617262363433838, -0.45158645510673523, -0.35025012493133545, 0.08467158675193787, -0.022350342944264412, 0.24832837283611298, -0.08280124515295029, 0.0009528733789920807, 0.1508454978466034, -0.0003901515156030655, -0.28852352499961853, 0.23473523557186127, -0.2983711063861847, -0.24989040195941925, -0.48020613193511963, -0.1638886034488678, -0.30518078804016113, 0.26891377568244934, -0.5865234136581421, 0.20631493628025055, 0.33689188957214355, 0.22617484629154205]",0,1
a person stand in the beach,"[-0.39891085028648376, -0.6377434730529785, -0.0012068767100572586, 0.24830138683319092, -0.08467981964349747, -0.7625520825386047, 0.07633237540721893, -0.35277390480041504, 0.3446753919124603, -0.29519250988960266, -0.4171523451805115, 0.09728405624628067, 0.5348467826843262, 0.15917061269283295, 0.04856879264116287, 0.17615728080272675, 0.29682275652885437, -0.252802312374115, -0.1051943451166153, 0.16583606600761414, -0.04767882078886032, 0.2100132256746292, 0.02882417105138302, 0.3756081759929657, -0.35963869094848633, 0.0009223408997058868, 0.241978257894516, 0.2895747721195221, -0.20196837186813354, 0.22685874998569489, -0.10370156913995743, -0.5318410396575928, -0.019642189145088196, -0.05070184916257858, -0.13114342093467712, 0.7403784394264221, -0.4764955937862396, 0.43654173612594604, -0.025235529989004135, 0.08853459358215332]","[-0.6087489128112793, -0.7709429264068604, -0.2378980964422226, 0.010739801451563835, 0.5785586833953857, -0.4773938059806824, 0.061110302805900574, -0.3499189019203186, 0.19041286408901215, -0.14913180470466614, -0.14324964582920074, -0.018413932994008064, 0.26943472027778625, -0.1718692034482956, 0.37819042801856995, 0.406493216753006, 0.39629432559013367, -0.8062105774879456, -0.45153170824050903, 0.00040933582931756973, -0.17064601182937622, 0.04870672523975372, -0.058216772973537445, 0.14405040442943573, 0.5636311769485474, 0.3130844533443451, 0.9205864667892456, 0.35822853446006775, -0.224481999874115, 0.08800890296697617, -0.0904524028301239, 0.20219270884990692, -0.5510563850402832, -0.03943008929491043, -0.4274439513683319, 0.2310296595096588, -0.8328360319137573, 0.3854237496852875, 0.055226195603609085, 0.5858755111694336]",0,1
A person swims in the sea.,"[-0.21866926550865173, -0.43735039234161377, -0.6113422513008118, -0.35870030522346497, 0.12625625729560852, -0.8142472505569458, 0.026683181524276733, -0.0835915058851242, 0.07037145644426346, -0.3981185257434845, -0.3809191584587097, 0.11644446849822998, 0.5843812227249146, 0.004681052640080452, -0.024400943890213966, 0.2708004415035248, 0.06548848003149033, 0.28768694400787354, 0.5568456649780273, -0.35026416182518005, -0.7438449263572693, 0.303236722946167, -0.3320649266242981, 0.11817643791437149, -0.361141175031662, 0.04165199026465416, 0.45710334181785583, 0.3423788547515869, -0.38470199704170227, 0.32868263125419617, -0.285984605550766, -0.15375910699367523, 0.038870468735694885, -0.18394196033477783, -0.49943870306015015, 0.2506818473339081, -0.47626203298568726, 0.49447423219680786, -0.3118201196193695, 0.21633608639240265]","[-0.34210675954818726, -0.18928098678588867, 0.16180476546287537, 0.06159031391143799, 0.1750851273536682, -0.4584352374076843, -0.10120730847120285, -0.6287001371383667, 0.1799652874469757, -0.38005560636520386, -0.620273232460022, 0.33381593227386475, 0.5244821310043335, -0.0636586919426918, 0.46242278814315796, 0.30208370089530945, 0.1349843144416809, 0.5722846388816833, -0.03665875643491745, -0.08867690712213516, -0.4324522614479065, 0.2557593584060669, -0.20719850063323975, 0.10248540341854095, -0.09572913497686386, 0.04933539405465126, -0.0382128581404686, 0.4472934603691101, -0.06880783289670944, 0.35629087686538696, -0.0980241522192955, -0.21833141148090363, -0.015344962477684021, -0.3515286147594452, -0.2960582971572876, 0.23993444442749023, -0.7471529245376587, 0.4897100329399109, 0.03456820920109749, 0.045706573873758316]",0,1
A woman is walking along the sea.,"[-0.0661376491189003, -0.4206787347793579, 0.10898108035326004, 0.40769925713539124, -0.17172971367835999, -0.6324232816696167, 0.12302030622959137, -0.44681936502456665, -0.0013428684324026108, -0.330795556306839, -0.5069767236709595, -0.20318026840686798, 0.4837661683559418, 0.060260094702243805, 0.5235585570335388, 0.5101380348205566, 0.42668044567108154, -0.03173750638961792, 0.1509951800107956, 0.24934181571006775, -0.22976021468639374, -0.03423471003770828, -0.28029176592826843, 0.01801428385078907, -0.16562452912330627, -0.21903371810913086, 0.12141897529363632, 0.2113259732723236, -0.4268158972263336, 0.1915777325630188, 0.059759728610515594, -0.42630502581596375, -0.049128010869026184, 0.018942540511488914, -0.25067010521888733, 0.33406317234039307, -0.6795600652694702, -0.07617434859275818, -0.1824459433555603, 0.05518651381134987]","[-0.5098825097084045, -0.555158793926239, -0.11875952780246735, -0.1884113848209381, -0.22866153717041016, -0.23294201493263245, 0.24849466979503632, -0.2754528820514679, 0.2899034023284912, -0.29585251212120056, -0.5506436824798584, 0.08976244926452637, 0.2661316692829132, -0.0726957842707634, 0.17497038841247559, 0.3958888351917267, 0.11364510655403137, -0.40274399518966675, 0.0047297608107328415, 0.21207259595394135, -0.29426512122154236, 0.25843489170074463, -0.32533007860183716, 0.07428540289402008, -0.13793793320655823, -0.43324631452560425, 0.5847035646438599, -0.11651559919118881, -0.05717529356479645, -0.19037634134292603, 0.0047896746546030045, -0.2380049079656601, -0.12194918096065521, 0.1603255569934845, -0.275590717792511, 0.11460338532924652, -0.6998580098152161, 0.5853888988494873, -0.15006591379642487, 0.5372256636619568]",0,1
A person takes a walk next to the sea.,"[-0.2561272978782654, -0.4381994307041168, -0.13743464648723602, 0.152509406208992, -0.2995140254497528, -0.6827526092529297, 0.16260448098182678, -0.4085168242454529, 0.07210924476385117, -0.10521359741687775, -0.07383079081773758, -0.19628995656967163, 0.09024415165185928, -0.06213825196027756, 0.01885283552110195, 0.500217080116272, 0.12694469094276428, -0.313883900642395, 0.14757366478443146, 0.08411285281181335, 0.015280568972229958, -0.18840479850769043, -0.3658425211906433, -0.027569128200411797, 0.04265332967042923, -0.3263484239578247, 0.26324015855789185, 0.3016056716442108, -0.36889657378196716, 0.10782379657030106, -0.21317730844020844, -0.4156532883644104, 0.02190844714641571, -0.22116690874099731, -0.17584747076034546, 0.2641741931438446, -0.43788132071495056, 0.2217581421136856, -0.22503794729709625, 0.3693837821483612]","[-0.35175666213035583, -0.8098302483558655, 0.11990737169981003, 0.21003687381744385, 0.13036170601844788, -0.8794052600860596, 0.10184331983327866, -0.33168932795524597, 0.02300744690001011, -0.5772385597229004, -0.6844861507415771, -0.03387024998664856, 0.7192664742469788, -0.06968138366937637, 0.13184116780757904, 0.19504421949386597, 0.30811893939971924, 0.039279285818338394, 0.11315074563026428, -0.3181137144565582, -0.4417019784450531, 0.4827441871166229, -0.24965722858905792, 0.05431072413921356, -0.07211876660585403, 0.23717662692070007, 0.2956902086734772, 0.3059921860694885, -0.08392723649740219, 0.24897804856300354, -0.10200437903404236, -0.1832239180803299, 0.024225428700447083, -0.001422801986336708, -0.18232089281082153, 0.43613046407699585, -0.8503466844558716, 0.9750580787658691, 0.1470036804676056, -0.06135902926325798]",0,1
